hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0.0,7,2015,27,1,0,1,1,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,75.0,0.0,0.0
Resort Hotel,0.0,13,2015,27,1,0,1,1,0,0,0,0,0,0,No Deposit,304.0,0.0,75.0,0.0,0.0
Resort Hotel,0.0,14,2015,27,1,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,98.0,0.0,1.0
Resort Hotel,0.0,0,2015,27,1,0,2,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,107.0,0.0,0.0
Resort Hotel,0.0,9,2015,27,1,0,2,2,0,0,0,0,0,0,No Deposit,303.0,0.0,103.0,0.0,1.0
Resort Hotel,1.0,85,2015,27,1,0,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,82.0,0.0,1.0
Resort Hotel,1.0,75,2015,27,1,0,3,2,0,0,0,0,0,0,No Deposit,15.0,0.0,105.5,0.0,0.0
Resort Hotel,1.0,23,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,35,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,145.0,0.0,0.0
Resort Hotel,0.0,68,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,3.0
Resort Hotel,0.0,37,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,241.0,0.0,94.71,0.0,0.0
Resort Hotel,0.0,68,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,3.0
Resort Hotel,0.0,37,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,8.0,0.0,97.5,0.0,0.0
Resort Hotel,0.0,12,2015,27,1,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,88.2,0.0,0.0
Resort Hotel,0.0,0,2015,27,1,0,1,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,107.42,0.0,0.0
Resort Hotel,0.0,7,2015,27,1,0,4,2,0,0,0,0,0,0,No Deposit,250.0,0.0,153.0,0.0,1.0
Resort Hotel,0.0,37,2015,27,1,1,4,1,0,0,0,0,0,0,No Deposit,241.0,0.0,97.29,0.0,1.0
Resort Hotel,0.0,127,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,115.0,0.0,94.95,0.0,1.0
Resort Hotel,0.0,78,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,5.0,0.0,63.6,1.0,0.0
Resort Hotel,0.0,48,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,8.0,0.0,79.5,0.0,0.0
Resort Hotel,1.0,60,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,107.0,0.0,2.0
Resort Hotel,0.0,77,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,94.0,0.0,0.0
Resort Hotel,0.0,99,2015,27,1,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,87.3,1.0,1.0
Resort Hotel,0.0,95,2015,27,1,4,11,2,0,0,0,0,0,0,No Deposit,241.0,0.0,63.86,0.0,0.0
Resort Hotel,1.0,96,2015,27,1,2,8,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,108.3,0.0,2.0
Resort Hotel,0.0,69,2015,27,2,2,4,2,0,0,0,0,0,0,No Deposit,175.0,0.0,65.5,0.0,0.0
Resort Hotel,1.0,45,2015,27,2,1,3,3,0,0,0,0,0,0,No Deposit,241.0,0.0,108.8,0.0,1.0
Resort Hotel,1.0,40,2015,27,2,1,3,3,0,0,0,0,0,0,No Deposit,241.0,0.0,108.8,0.0,1.0
Resort Hotel,0.0,15,2015,27,2,1,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,98.0,0.0,0.0
Resort Hotel,0.0,36,2015,27,2,1,3,3,0,0,0,0,0,0,No Deposit,241.0,0.0,108.8,0.0,1.0
Resort Hotel,1.0,43,2015,27,2,1,3,3,0,0,0,0,0,0,No Deposit,241.0,0.0,108.8,0.0,0.0
Resort Hotel,0.0,70,2015,27,2,2,3,2,0,0,0,0,0,0,No Deposit,250.0,0.0,137.0,0.0,1.0
Resort Hotel,1.0,45,2015,27,2,2,3,2,0,0,0,0,0,0,No Deposit,241.0,0.0,117.81,0.0,0.0
Resort Hotel,0.0,45,2015,27,2,2,3,2,0,0,0,0,0,0,No Deposit,8.0,0.0,79.5,0.0,0.0
Resort Hotel,0.0,16,2015,27,2,2,3,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,123.0,0.0,0.0
Resort Hotel,0.0,107,2015,27,2,2,5,2,0,0,0,0,0,0,No Deposit,240.0,0.0,110.7,0.0,2.0
Resort Hotel,1.0,47,2015,27,2,2,5,2,2,0,0,0,0,0,No Deposit,240.0,0.0,153.0,0.0,0.0
Resort Hotel,0.0,96,2015,27,2,2,5,2,0,0,0,0,0,0,No Deposit,134.0,0.0,58.95,0.0,1.0
Resort Hotel,0.0,113,2015,27,2,2,5,2,0,0,0,0,0,0,No Deposit,156.0,0.0,82.88,0.0,2.0
Resort Hotel,0.0,113,2015,27,2,2,5,2,0,0,0,0,0,0,No Deposit,156.0,0.0,67.58,0.0,2.0
Resort Hotel,0.0,93,2015,27,2,3,8,2,0,0,0,0,0,0,No Deposit,156.0,0.0,56.01,0.0,0.0
Resort Hotel,0.0,76,2015,27,2,4,10,2,0,0,0,0,0,0,No Deposit,243.0,0.0,110.7,0.0,0.0
Resort Hotel,0.0,3,2015,27,2,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,88.2,1.0,0.0
Resort Hotel,0.0,1,2015,27,2,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,147.0,1.0,0.0
Resort Hotel,0.0,1,2015,27,2,0,1,2,2,0,0,0,0,0,No Deposit,214.65992721391024,0.0,107.0,1.0,2.0
Resort Hotel,0.0,0,2015,27,2,0,1,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,147.0,0.0,0.0
Resort Hotel,0.0,0,2015,27,2,0,1,2,0,0,0,0,0,0,No Deposit,240.0,0.0,117.9,0.0,2.0
Resort Hotel,0.0,0,2015,27,2,0,1,2,0,0,0,0,0,0,No Deposit,214.65992721391024,0.0,123.0,0.0,0.0
Resort Hotel,0.0,14,2015,27,2,0,2,2,0,0,0,0,0,0,No Deposit,242.0,0.0,98.0,0.0,1.0
Resort Hotel,0.0,10,2015,27,2,0,2,2,0,0,0,0,0,0,No Deposit,241.0,0.0,117.81,0.0,0.0
Resort Hotel,0.0,5,2015,27,2,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,135.0,1.0,2.0
Resort Hotel,0.0,17,2015,27,2,0,3,2,0,0,0,0,0,0,No Deposit,250.0,0.0,133.0,0.0,1.0
Resort Hotel,0.0,93,2015,27,2,0,3,2,0,0,0,0,0,0,No Deposit,115.0,0.0,58.95,0.0,0.0
Resort Hotel,1.0,3,2015,27,2,0,3,2,0,0,0,0,0,0,No Deposit,240.0,0.0,136.33,0.0,2.0
Resort Hotel,0.0,10,2015,27,3,0,2,2,2,0,0,0,0,0,No Deposit,240.0,0.0,153.0,1.0,0.0
Resort Hotel,0.0,3,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,110.5,0.0,0.0
Resort Hotel,0.0,51,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,242.0,0.0,97.0,0.0,0.0
Resort Hotel,1.0,71,2015,27,3,0,2,3,0,0,0,0,0,0,No Deposit,242.0,0.0,110.3,0.0,2.0
Resort Hotel,1.0,63,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,82.0,0.0,2.0
Resort Hotel,1.0,62,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,97.0,0.0,1.0
Resort Hotel,1.0,101,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,240.0,0.0,73.8,0.0,1.0
Resort Hotel,0.0,2,2015,27,3,0,2,2,0,0,0,0,0,0,No Deposit,3.0,0.0,91.5,0.0,0.0
